                  epoch;         train/box_loss;         train/cls_loss;         train/dfl_loss;   metrics/precision(B);      metrics/recall(B);       metrics/mAP50(B);    metrics/mAP50-95(B);           val/box_loss;           val/cls_loss;           val/dfl_loss;                 lr/pg0;                 lr/pg1;                 lr/pg2
1;                0.88712;37.245;1.015;                0.10268;                0.61119;                0.11797;                0.10506;                0.48027;24.808;                   0.85;             0.00011887;             0.00011887;             0.00011887
2;                0.57337;23.726;                0.89095;                0.17689;                0.60757;                0.20108;                0.18603;                0.38594;19.406;                0.81696;             0.00023552;             0.00023552;             0.00023552
3;                0.48028;20.128;                0.85908;                0.29188;                0.56327;                0.33582;                0.31362;                0.35653;16.778;                0.80339;             0.00034981;             0.00034981;             0.00034981
4;                0.44374;17.996;                  0.847;                0.46024;                0.61088;                0.54496;                0.51545;                0.33039;1.393;                0.79888;              0.0003464;              0.0003464;              0.0003464
5;                0.42881;1.603;                0.84252;                0.61875;                0.66213;                0.69577;                0.65847;                0.33023;11.588;                0.79652;              0.0003464;              0.0003464;              0.0003464
6;                0.41213;14.402;                0.83798;                0.72763;                0.70961;                0.78349;                0.74361;                0.32083;                0.97474;                 0.7955;             0.00034286;             0.00034286;             0.00034286
7;                0.39877;13.008;                0.83418;                0.77073;                0.72786;                0.82256;                0.78145;                0.31713;                0.90748;                0.79533;             0.00033933;             0.00033933;             0.00033933
8;                0.38913;11.924;                0.83247;                0.83835;                0.79524;                0.88731;                0.84549;                0.30935;                  0.733;                0.79134;             0.00033579;             0.00033579;             0.00033579
9;                0.38422;11.179;                0.83043;                0.86256;                0.81788;                0.90815;                0.86704;                0.29996;                0.66405;                0.79009;             0.00033226;             0.00033226;             0.00033226
10;                0.37247;1.045;                0.82792;                0.87028;                 0.8363;                0.92312;                0.88324;                0.29302;                0.62304;                0.78878;             0.00032873;             0.00032873;             0.00032873
11;                0.36655;                0.99288;                0.82675;                0.89039;                0.85108;                0.93616;                0.89699;                0.28952;                0.57289;                0.78773;             0.00032519;             0.00032519;             0.00032519
12;                0.36201;                0.95365;                0.82506;                0.90917;                0.86585;                0.94604;                0.90745;                0.28596;                0.53468;                0.78729;             0.00032166;             0.00032166;             0.00032166
13;                0.35385;                0.90646;                0.82386;                0.91927;                0.87744;                 0.9549;                0.91725;                 0.2825;                0.50229;                0.78575;             0.00031812;             0.00031812;             0.00031812
14;                0.35006;                0.88705;                0.82107;                0.92636;                0.88568;                0.95976;                0.92297;                0.27777;                0.48214;                0.78508;             0.00031459;             0.00031459;             0.00031459
15;                0.34549;                0.85948;                0.82037;                0.92887;                 0.8907;                0.96297;                0.92629;                0.27545;                0.46346;                0.78437;             0.00031105;             0.00031105;             0.00031105
16;                0.34036;                0.83356;                0.81943;                0.93151;                 0.8989;                0.96643;                0.93055;                0.27264;                0.44539;                0.78409;             0.00030752;             0.00030752;             0.00030752
17;                0.33513;                0.80728;                0.81769;                0.93403;                0.89791;                0.96812;                0.93457;                0.26555;                0.44414;                0.78277;             0.00030399;             0.00030399;             0.00030399
18;                0.32928;                0.78524;                 0.8166;                0.93835;                0.90338;                0.97037;                0.93544;                 0.2686;                0.42635;                0.78272;             0.00030045;             0.00030045;             0.00030045
19;                0.32799;                0.77256;                0.81501;                0.93893;                0.91484;                0.97343;                0.93986;                0.26435;                0.40858;                0.78187;             0.00029692;             0.00029692;             0.00029692
20;                0.32498;                0.75589;                0.81505;                0.94788;                0.91285;                0.97528;                0.94151;                0.26584;                0.40238;                0.78178;             0.00029338;             0.00029338;             0.00029338
21;                0.31706;                0.73308;                0.81385;                0.94806;                0.91626;                 0.9761;                0.94387;                0.25948;                0.39537;                0.78104;             0.00028985;             0.00028985;             0.00028985
